,AAPL,FB,NVDA,PYPL,SHOP,SQ,TDOC,TSLA,TWTR,Z
,close,close,close,close,close,close,close,close,close,close
Date,,,,,,,,,,
2020-01-07,74.59750366210938,213.05999755859375,239.92999267578125,109.66999816894531,414.5,64.58999633789062,85.7300033569336,93.81199645996094,32.540000915527344,45.77000045776367
2020-01-08,75.79750061035156,215.22000122070312,240.3800048828125,111.81999969482422,418.1000061035156,67.5999984741211,86.22000122070312,98.4280014038086,33.04999923706055,45.77000045776367
2020-01-09,77.40750122070312,218.3000030517578,243.02000427246094,112.56999969482422,430.20001220703125,67.93000030517578,85.37000274658203,96.26799774169922,33.220001220703125,45.779998779296875
2020-01-10,77.5824966430664,218.05999755859375,244.32000732421875,112.93000030517578,429.1700134277344,67.98999786376953,85.16000366210938,95.62999725341797,32.779998779296875,45.59000015258789
2020-01-13,79.23999786376953,221.91000366210938,251.97999572753906,115.27999877929688,440.25,68.66000366210938,95.97000122070312,104.97200012207031,32.689998626708984,46.58000183105469
2020-01-14,78.16999816894531,219.05999755859375,247.27999877929688,114.63999938964844,441.2200012207031,68.16999816894531,96.87000274658203,107.58399963378906,32.81999969482422,47.06999969482422
2020-01-15,77.83499908447266,221.14999389648438,245.57000732421875,114.8499984741211,448.510009765625,70.36000061035156,94.0,103.69999694824219,33.22999954223633,46.68000030517578
2020-01-16,78.80999755859375,221.77000427246094,248.92999267578125,115.4000015258789,451.29998779296875,69.5199966430664,96.91000366210938,102.697998046875,34.189998626708984,47.18000030517578
2020-01-17,79.68250274658203,222.13999938964844,249.27999877929688,116.04000091552734,454.8800048828125,69.37999725341797,95.5999984741211,102.0999984741211,34.220001220703125,47.959999084472656
2020-01-21,79.14250183105469,221.44000244140625,247.94000244140625,116.1500015258789,465.44000244140625,68.30999755859375,98.25,109.44000244140625,34.09000015258789,48.150001525878906
2020-01-22,79.42500305175781,221.32000732421875,250.11000061035156,115.5,464.760009765625,68.69000244140625,101.41999816894531,113.91200256347656,34.02000045776367,48.09000015258789
2020-01-23,79.80750274658203,219.75999450683594,252.86000061035156,117.88999938964844,469.25,69.29000091552734,102.80000305175781,114.44000244140625,33.88999938964844,48.22999954223633
2020-01-24,79.57749938964844,217.94000244140625,250.47999572753906,116.9800033569336,465.4800109863281,71.13999938964844,98.0999984741211,112.96399688720703,33.189998626708984,48.439998626708984
2020-01-27,77.23750305175781,214.8699951171875,240.1999969482422,115.23999786376953,451.1099853515625,71.05000305175781,95.97000122070312,111.60399627685547,32.779998779296875,47.18000030517578
2020-01-28,79.42250061035156,217.7899932861328,247.97000122070312,116.5199966430664,467.6600036621094,74.80000305175781,99.41999816894531,113.37999725341797,33.41999816894531,47.15999984741211
2020-01-29,81.08499908447266,223.22999572753906,245.5399932861328,116.66000366210938,471.6700134277344,76.16000366210938,103.4800033569336,116.197998046875,33.630001068115234,47.72999954223633
2020-01-30,80.96749877929688,209.52999877929688,245.80999755859375,117.12000274658203,476.8800048828125,76.0999984741211,104.75,128.16200256347656,33.220001220703125,47.34000015258789
2020-01-31,77.37750244140625,201.91000366210938,236.42999267578125,113.88999938964844,465.6600036621094,74.69000244140625,101.70999908447266,130.11399841308594,32.47999954223633,46.209999084472656
2020-02-03,77.16500091552734,204.19000244140625,240.3300018310547,116.51000213623047,469.3900146484375,79.80000305175781,101.98999786376953,156.0,33.06999969482422,46.58000183105469
2020-02-04,79.7125015258789,209.8300018310547,247.1300048828125,120.08000183105469,485.4599914550781,80.9000015258789,107.1500015258789,177.41200256347656,33.959999084472656,48.97999954223633
2020-02-05,80.36250305175781,210.11000061035156,250.75999450683594,119.72000122070312,475.55999755859375,78.25,107.05999755859375,146.94000244140625,33.38999938964844,49.11000061035156
2020-02-06,81.30249786376953,210.85000610351562,254.25,119.88999938964844,472.9800109863281,78.51000213623047,108.73999786376953,149.79200744628906,38.40999984741211,50.150001525878906
